t0	24-Sep-20  16:19:33.393727
delta t	6.000000E-7

time	Y
24-Sep-20  16:19:33.393796	-0.191406
24-Sep-20  16:19:33.393796	-0.196045
24-Sep-20  16:19:33.393797	-0.200684
24-Sep-20  16:19:33.393798	-0.205566
24-Sep-20  16:19:33.393798	-0.209961
24-Sep-20  16:19:33.393799	-0.214355
24-Sep-20  16:19:33.393799	-0.218994
24-Sep-20  16:19:33.393800	-0.223633
24-Sep-20  16:19:33.393801	-0.227783
24-Sep-20  16:19:33.393801	-0.232178
24-Sep-20  16:19:33.393802	-0.235840
24-Sep-20  16:19:33.393802	-0.239746
24-Sep-20  16:19:33.393803	-0.244629
24-Sep-20  16:19:33.393804	-0.249023
24-Sep-20  16:19:33.393804	-0.253174
24-Sep-20  16:19:33.393805	-0.258301
24-Sep-20  16:19:33.393805	-0.262939
24-Sep-20  16:19:33.393806	-0.267090
24-Sep-20  16:19:33.393807	-0.271729
24-Sep-20  16:19:33.393807	-0.276123
24-Sep-20  16:19:33.393808	-0.281006
24-Sep-20  16:19:33.393808	-0.286133
24-Sep-20  16:19:33.393809	-0.291504
24-Sep-20  16:19:33.393810	-0.295898
24-Sep-20  16:19:33.393810	-0.300537
24-Sep-20  16:19:33.393811	-0.305176
24-Sep-20  16:19:33.393811	-0.309570
24-Sep-20  16:19:33.393812	-0.314209
24-Sep-20  16:19:33.393813	-0.318848
24-Sep-20  16:19:33.393813	-0.323486
24-Sep-20  16:19:33.393814	-0.327881
24-Sep-20  16:19:33.393814	-0.331787
24-Sep-20  16:19:33.393815	-0.335693
24-Sep-20  16:19:33.393816	-0.340088
24-Sep-20  16:19:33.393816	-0.343994
24-Sep-20  16:19:33.393817	-0.348633
24-Sep-20  16:19:33.393817	-0.353027
24-Sep-20  16:19:33.393818	-0.357422
24-Sep-20  16:19:33.393819	-0.362061
24-Sep-20  16:19:33.393819	-0.366211
24-Sep-20  16:19:33.393820	-0.370850
24-Sep-20  16:19:33.393820	-0.375732
24-Sep-20  16:19:33.393821	-0.380615
24-Sep-20  16:19:33.393822	-0.383301
24-Sep-20  16:19:33.393822	-0.384033
24-Sep-20  16:19:33.393823	-0.384033
24-Sep-20  16:19:33.393823	-0.384033
24-Sep-20  16:19:33.393824	-0.384521
24-Sep-20  16:19:33.393825	-0.384766
24-Sep-20  16:19:33.393825	-0.384766
24-Sep-20  16:19:33.393826	-0.384766
24-Sep-20  16:19:33.393826	-0.384766
24-Sep-20  16:19:33.393827	-0.384521
24-Sep-20  16:19:33.393828	-0.384521
24-Sep-20  16:19:33.393828	-0.383789
24-Sep-20  16:19:33.393829	-0.383301
24-Sep-20  16:19:33.393829	-0.383301
24-Sep-20  16:19:33.393830	-0.383301
24-Sep-20  16:19:33.393831	-0.382812
24-Sep-20  16:19:33.393831	-0.383057
24-Sep-20  16:19:33.393832	-0.383301
24-Sep-20  16:19:33.393832	-0.383057
24-Sep-20  16:19:33.393833	-0.383057
24-Sep-20  16:19:33.393834	-0.382812
24-Sep-20  16:19:33.393834	-0.383301
24-Sep-20  16:19:33.393835	-0.384033
24-Sep-20  16:19:33.393835	-0.384521
24-Sep-20  16:19:33.393836	-0.384766
24-Sep-20  16:19:33.393837	-0.384766
24-Sep-20  16:19:33.393837	-0.384766
24-Sep-20  16:19:33.393838	-0.384766
24-Sep-20  16:19:33.393838	-0.385010
24-Sep-20  16:19:33.393839	-0.385254
24-Sep-20  16:19:33.393840	-0.385254
24-Sep-20  16:19:33.393840	-0.385254
24-Sep-20  16:19:33.393841	-0.384766
24-Sep-20  16:19:33.393841	-0.383789
24-Sep-20  16:19:33.393842	-0.383545
24-Sep-20  16:19:33.393843	-0.383789
24-Sep-20  16:19:33.393843	-0.383545
24-Sep-20  16:19:33.393844	-0.383301
24-Sep-20  16:19:33.393844	-0.383057
24-Sep-20  16:19:33.393845	-0.382812
24-Sep-20  16:19:33.393846	-0.382812
24-Sep-20  16:19:33.393846	-0.382812
24-Sep-20  16:19:33.393847	-0.382568
24-Sep-20  16:19:33.393847	-0.382568
24-Sep-20  16:19:33.393848	-0.383301
24-Sep-20  16:19:33.393849	-0.383545
24-Sep-20  16:19:33.393849	-0.384033
24-Sep-20  16:19:33.393850	-0.384521
24-Sep-20  16:19:33.393850	-0.385010
24-Sep-20  16:19:33.393851	-0.384521
24-Sep-20  16:19:33.393852	-0.384766
24-Sep-20  16:19:33.393852	-0.384521
24-Sep-20  16:19:33.393853	-0.384521
24-Sep-20  16:19:33.393853	-0.385010
24-Sep-20  16:19:33.393854	-0.384766
24-Sep-20  16:19:33.393855	-0.384033
24-Sep-20  16:19:33.393855	-0.383545
24-Sep-20  16:19:33.393856	-0.383301
24-Sep-20  16:19:33.393856	-0.383057
24-Sep-20  16:19:33.393857	-0.383057
24-Sep-20  16:19:33.393858	-0.383301
24-Sep-20  16:19:33.393858	-0.383301
24-Sep-20  16:19:33.393859	-0.383057
24-Sep-20  16:19:33.393859	-0.382812
24-Sep-20  16:19:33.393860	-0.382812
24-Sep-20  16:19:33.393861	-0.383301
24-Sep-20  16:19:33.393861	-0.383301
24-Sep-20  16:19:33.393862	-0.384033
24-Sep-20  16:19:33.393862	-0.384277
24-Sep-20  16:19:33.393863	-0.384277
24-Sep-20  16:19:33.393864	-0.384521
24-Sep-20  16:19:33.393864	-0.384521
24-Sep-20  16:19:33.393865	-0.384521
24-Sep-20  16:19:33.393865	-0.384766
24-Sep-20  16:19:33.393866	-0.384766
24-Sep-20  16:19:33.393867	-0.384766
24-Sep-20  16:19:33.393867	-0.385010
24-Sep-20  16:19:33.393868	-0.384277
24-Sep-20  16:19:33.393868	-0.383301
24-Sep-20  16:19:33.393869	-0.383057
24-Sep-20  16:19:33.393870	-0.383057
24-Sep-20  16:19:33.393870	-0.382812
24-Sep-20  16:19:33.393871	-0.383057
24-Sep-20  16:19:33.393871	-0.382812
24-Sep-20  16:19:33.393872	-0.382568
24-Sep-20  16:19:33.393873	-0.382324
24-Sep-20  16:19:33.393873	-0.382568
24-Sep-20  16:19:33.393874	-0.382324
24-Sep-20  16:19:33.393874	-0.382812
24-Sep-20  16:19:33.393875	-0.383545
24-Sep-20  16:19:33.393876	-0.383789
24-Sep-20  16:19:33.393876	-0.383789
24-Sep-20  16:19:33.393877	-0.384277
24-Sep-20  16:19:33.393877	-0.384277
24-Sep-20  16:19:33.393878	-0.384521
24-Sep-20  16:19:33.393879	-0.384766
24-Sep-20  16:19:33.393879	-0.384277
24-Sep-20  16:19:33.393880	-0.384521
24-Sep-20  16:19:33.393880	-0.384766
24-Sep-20  16:19:33.393881	-0.384521
24-Sep-20  16:19:33.393882	-0.383789
24-Sep-20  16:19:33.393882	-0.383301
24-Sep-20  16:19:33.393883	-0.383057
24-Sep-20  16:19:33.393883	-0.382812
24-Sep-20  16:19:33.393884	-0.383057
24-Sep-20  16:19:33.393885	-0.383057
24-Sep-20  16:19:33.393885	-0.382812
24-Sep-20  16:19:33.393886	-0.382812
24-Sep-20  16:19:33.393886	-0.382812
24-Sep-20  16:19:33.393887	-0.382568
24-Sep-20  16:19:33.393888	-0.382812
24-Sep-20  16:19:33.393888	-0.383789
24-Sep-20  16:19:33.393889	-0.384033
24-Sep-20  16:19:33.393889	-0.384277
24-Sep-20  16:19:33.393890	-0.384521
24-Sep-20  16:19:33.393891	-0.384521
24-Sep-20  16:19:33.393891	-0.384521
24-Sep-20  16:19:33.393892	-0.385010
24-Sep-20  16:19:33.393892	-0.384766
24-Sep-20  16:19:33.393893	-0.384766
24-Sep-20  16:19:33.393894	-0.384766
24-Sep-20  16:19:33.393894	-0.384521
24-Sep-20  16:19:33.393895	-0.383789
24-Sep-20  16:19:33.393895	-0.383301
24-Sep-20  16:19:33.393896	-0.383301
24-Sep-20  16:19:33.393897	-0.383057
24-Sep-20  16:19:33.393897	-0.382568
24-Sep-20  16:19:33.393898	-0.382568
24-Sep-20  16:19:33.393898	-0.382568
24-Sep-20  16:19:33.393899	-0.382812
24-Sep-20  16:19:33.393900	-0.382812
24-Sep-20  16:19:33.393900	-0.382324
24-Sep-20  16:19:33.393901	-0.382080
24-Sep-20  16:19:33.393901	-0.382812
24-Sep-20  16:19:33.393902	-0.383789
24-Sep-20  16:19:33.393903	-0.384033
24-Sep-20  16:19:33.393903	-0.384277
24-Sep-20  16:19:33.393904	-0.384277
24-Sep-20  16:19:33.393904	-0.384277
24-Sep-20  16:19:33.393905	-0.384277
24-Sep-20  16:19:33.393906	-0.384766
24-Sep-20  16:19:33.393906	-0.384766
24-Sep-20  16:19:33.393907	-0.385010
24-Sep-20  16:19:33.393907	-0.384766
24-Sep-20  16:19:33.393908	-0.384033
24-Sep-20  16:19:33.393909	-0.383789
24-Sep-20  16:19:33.393909	-0.383301
24-Sep-20  16:19:33.393910	-0.383057
24-Sep-20  16:19:33.393910	-0.382812
24-Sep-20  16:19:33.393911	-0.383057
24-Sep-20  16:19:33.393912	-0.382812
24-Sep-20  16:19:33.393912	-0.382568
24-Sep-20  16:19:33.393913	-0.382812
24-Sep-20  16:19:33.393913	-0.382812
24-Sep-20  16:19:33.393914	-0.382568
24-Sep-20  16:19:33.393915	-0.383301
24-Sep-20  16:19:33.393915	-0.383789
24-Sep-20  16:19:33.393916	-0.384277
24-Sep-20  16:19:33.393916	-0.384277
24-Sep-20  16:19:33.393917	-0.384521
24-Sep-20  16:19:33.393918	-0.384521
24-Sep-20  16:19:33.393918	-0.384521
24-Sep-20  16:19:33.393919	-0.384521
24-Sep-20  16:19:33.393919	-0.385010
24-Sep-20  16:19:33.393920	-0.384521
24-Sep-20  16:19:33.393921	-0.382568
24-Sep-20  16:19:33.393921	-0.377930
24-Sep-20  16:19:33.393922	-0.372803
24-Sep-20  16:19:33.393922	-0.368408
24-Sep-20  16:19:33.393923	-0.363281
24-Sep-20  16:19:33.393924	-0.358398
24-Sep-20  16:19:33.393924	-0.353760
24-Sep-20  16:19:33.393925	-0.349121
24-Sep-20  16:19:33.393925	-0.344727
24-Sep-20  16:19:33.393926	-0.340332
